Object Name,Catalog No.,Reference Star Object Name,Reference Star Catalog No.,hh,mm,ss,deg,','',Reference Epoch,Reference Star Magnitude (V)
2MASS_J06565109+0430583,2MASS J06565109+0430583,2MASS_J06563278+0431551,2MASS J06563278+0431551,06,56,32.7849,04,31,55.125,J2000,11.3
2MASS_J06321094+0639111,2MASS J06321094+0639111,2MASS_J06314805+0638134,2MASS J06314805+0638134,06,31,48.0523,06,38,13.433,J2000,11.08
2MASS_J06324679+0002353,2MASS J06324679+0002353,2MASS_J06324515+0001051,2MASS J06324515+0001051,06,32,45.1584,00,01,05.149,J2000,13.684
HIP_31624,HIP 31624,HD__47108,HD  47108,06,37,05.7014,03,08,46.375,J2000,9.08
2MASS_J06254386+0639186,2MASS J06254386+0639186,2MASS_J06253830+0642154,2MASS J06253830+0642154,06,25,38.3057,06,42,15.466,J2000,11.9
HIP_33014,HIP 33014,2MASS_J06524403-0231468,2MASS J06524403-0231468,06,52,44.0232,-02,31,46.849,J2000,10.95
2MASS_J06213607+0404248,2MASS J06213607+0404248,2MASS_J06213518+0404543,2MASS J06213518+0404543,06,21,35.1822,04,04,54.331,J2000,12.906
2MASS_J06305297+0940231,2MASS J06305297+0940231,2MASS_J06310315+0943258,2MASS J06310315+0943258,06,31,03.1514,09,43,25.808,J2000,11.827
HIP_32516,HIP 32516,2MASS_J06471502+0401415,2MASS J06471502+0401415,06,47,15.0254,04,01,41.615,J2000,15.12
2MASS_J06472693+0231014,2MASS J06472693+0231014,2MASS_J06471339+0232102,2MASS J06471339+0232102,06,47,13.3909,02,32,10.240,J2000,12.15
2MASS_J06403756+1143389,2MASS J06403756+1143389,2MASS_J06405777+1146056,2MASS J06405777+1146056,06,40,57.7731,11,46,05.727,J2000,12.675
2MASS_J06453373+0748587,2MASS J06453373+0748587,2MASS_J06453243+0752348,2MASS J06453243+0752348,06,45,32.4331,07,52,34.823,J2000,12.8
HD__44415,HD  44415,None,None,06,22,08.850,14,39,23.57,J2000,10.93
2MASS_J06054472+1314239,2MASS J06054472+1314239,2MASS_J06055333+1316499,2MASS J06055333+1316499,06,05,53.3327,13,16,49.972,J2000,12.48
HIP_29022,HIP 29022,2MASS_J06071375+1103512,2MASS J06071375+1103512,06,07,13.7476,11,03,51.216,J2000,11.26
2MASS_J06240414+1142318,2MASS J06240414+1142318,2MASS_J06241755+1142398,2MASS J06241755+1142398,06,24,17.5614,11,42,39.920,J2000,13.684
HD_253057,HD 253057,2MASS_J06112628+0940517,2MASS J06112628+0940517,06,11,26.2909,09,40,51.711,J2000,11.38
HIP_31306,HIP 31306,None,None,06,33,30.3127,14,27,32.933,J2000,10.99
HD_252641,HD 252641,2MASS_J06101371+2402085,2MASS J06101371+2402085,06,10,13.7049,24,02,08.576,J2000,10.74
HD_267374,HD 267374,2MASS_J06590417+0940013,2MASS J06590417+0940013,06,59,04.1760,09,40,01.571,J2000,9.33
2MASS_J06444394-0357086,2MASS J06444394-0357086,2MASS_J06444316-0357347,2MASS J06444316-0357347,06,44,43.1601,-03,57,34.739,J2000,11.74
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J06455331+1003411,2MASS J06455331+1003411,2MASS_J06455090+1006135,2MASS J06455090+1006135,06,45,50.9158,10,06,13.555,J2000,10.9
HD__52973,HD  52973,2MASS_J07041272+2034213,2MASS J07041272+2034213,07,04,12.7311,20,34,21.301,J2000,11.46
HIP_33791,HIP 33791,2MASS_J07004151-0844061,2MASS J07004151-0844061,07,00,41.5124,-08,44,06.008,J2000,11.21
--,--,--,--,--,--,--,--,--,--,--,--
HD__52610,HD  52610,HD_293115,HD 293115,07,01,52.0023,-01,09,32.168,J2000,10.12
HD_176155,HD 176155,None,None,18,58,15.0255,17,21,33.656,J2000,10.04
HIP_93063,HIP 93063,2MASS_J18573236-0044426,2MASS J18573236-0044426,18,57,32.3695,-00,44,42.715,J2000,11.59
2MASS_J18481633+0049034,2MASS J18481633+0049034,2MASS_J18475602+0046152,2MASS J18475602+0046152,18,47,56.0230,00,46,15.165,J2000,12.641
2MASS_J18531788-0006272,2MASS J18531788-0006272,2MASS_J18531468-0006223,2MASS J18531468-0006223,18,53,14.6827,-00,06,22.281,J2000,11.78
HD_229414,HD 229414,2MASS_J18453462+1218235,2MASS J18453462+1218235,18,45,34.5964,12,18,23.461,J2000,10.54
HIP_91366,HIP 91366,2MASS_J18373994-0821541,2MASS J18373994-0821541,18,37,39.9431,-08,21,54.298,J2000,11.26
HD_172902,HD 172902,2MASS_J18424856-0544166,2MASS J18424856-0544166,18,42,48.5677,-05,44,16.664,J2000,11.19
HD_173058,HD 173058,HD_173008,HD 173008,18,43,31.9908,-07,43,37.432,J2000,9.96
HIP_91706,HIP 91706,None,None,18,42,01.0244,-04,14,12.484,J2000,11.48
--,--,--,--,--,--,--,--,--,--,--,--
HIP_91613,HIP 91613,2MASS_J18405406-0605381,2MASS J18405406-0605381,18,40,54.0664,-06,05,38.311,J2000,10.9
HIP_91738,HIP 91738,2MASS_J18423737-0518445,2MASS J18423737-0518445,18,42,37.3699,-05,18,44.518,J2000,10.93
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J18141582-0920206,2MASS J18141582-0920206,HD_167219,HD 167219,18,14,33.2533,-09,19,32.445,J2000,9.7
HIP_91239,HIP 91239,2MASS_J18364568-0810329,2MASS J18364568-0810329,18,36,45.7041,-08,10,32.955,J2000,10.7
HD_173838,HD 173838,2MASS_J18473637-0656247,2MASS J18473637-0656247,18,47,36.3720,-06,56,24.893,J2000,9.65
HD_183344,HD 183344,2MASS_J19291035-0705546,2MASS J19291035-0705546,19,29,10.3581,-07,05,54.767,J2000,11.46
HD_187929,HD 187929,HD_187900,HD 187900,19,52,19.6935,00,57,40.381,J2000,9.28
HD_188727,HD 188727,HD_354103,HD 354103,19,56,10.0021,16,42,31.198,J2000,9.38
HD_178359,HD 178359,2MASS_J19080400+0114165,2MASS J19080400+0114165,19,08,04.0068,01,14,16.543,J2000,10.85
--,--,--,--,--,--,--,--,--,--,--,--
HD_179494,HD 179494,2MASS_J19125589+0336073,2MASS J19125589+0336073,19,12,55.8971,03,36,07.261,J2000,10.95
HIP_93399,HIP 93399,2MASS_J19013693+0008173,2MASS J19013693+0008173,19,01,36.9281,00,08,17.505,J2000,11.06
HIP_95118,HIP 95118,2MASS_J19204198+0829174,2MASS J19204198+0829174,19,20,41.9874,08,29,17.554,J2000,11.0
HD_356404,HD 356404,2MASS_J19573693+1056534,2MASS J19573693+1056534,19,57,36.9296,10,56,53.407,J2000,10.83
2MASS_J19100041+1232117,2MASS J19100041+1232117,HD_230808,HD 230808,19,10,04.4862,12,32,15.749,J2000,10.62
2MASS_J19200694+1247429,2MASS J19200694+1247429,2MASS_J19195727+1244572,2MASS J19195727+1244572,19,19,57.2719,12,44,57.249,J2000,10.6
--,--,--,--,--,--,--,--,--,--,--,--
HD_186688,HD 186688,HD_332545,HD 332545,19,44,54.5294,29,15,55.949,J2000,10.09
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
HIP_98376,HIP 98376,HD_333259,HD 333259,19,59,07.8551,29,30,43.487,J2000,10.2
2MASS_J19593371+3344458,2MASS J19593371+3344458,2MASS_J19591023+3345047,2MASS J19591023+3345047,19,59,10.2317,33,45,04.734,J2000,11.83
2MASS_J19574609+3538098,2MASS J19574609+3538098,2MASS_J19572441+3539356,2MASS J19572441+3539356,19,57,24.4107,35,39,35.675,J2000,12.1
HIP_97439,HIP 97439,2MASS_J19482208+4308302,2MASS J19482208+4308302,19,48,22.0978,43,08,30.242,J2000,9.24
2MASS_J19311048+1915255,2MASS J19311048+1915255,HD_350095,HD 350095,19,31,05.1352,19,12,03.222,J2000,10.67
--,--,--,--,--,--,--,--,--,--,--,--
HD_185059,HD 185059,2MASS_J19364544+2016034,2MASS J19364544+2016034,19,36,45.4515,20,16,03.508,J2000,11.18
HD_339279,HD 339279,HD_339181,HD 339181,19,57,04.6264,26,33,55.941,J2000,8.87
--,--,--,--,--,--,--,--,--,--,--,--
HIP_97309,HIP 97309,HD_344900,HD 344900,19,46,19.2144,22,51,24.807,J2000,10.01
2MASS_J19584015+2741011,2MASS J19584015+2741011,2MASS_J19583813+2737233,2MASS J19583813+2737233,19,58,38.1384,27,37,23.416,J2000,11.71
HD_178287,HD 178287,2MASS_J19081839-0721100,2MASS J19081839-0721100,19,08,18.3890,-07,21,10.189,J2000,10.45
